"","building_id","geo_level_1_id","geo_level_1_mean_damage","geo_level_2_id","geo_level_2_mean_damage","geo_level_3_id","geo_level_3_mean_damage","count_floors_pre_eq","age","area_percentage","height_percentage","land_surface_condition","foundation_type","roof_type","ground_floor_type","other_floor_type","position","plan_configuration","has_superstructure_adobe_mud","has_superstructure_mud_mortar_stone","has_superstructure_stone_flag","has_superstructure_cement_mortar_stone","has_superstructure_mud_mortar_brick","has_superstructure_cement_mortar_brick","has_superstructure_timber","has_superstructure_bamboo","has_superstructure_rc_non_engineered","has_superstructure_rc_engineered","has_superstructure_other","legal_ownership_status","count_families","has_secondary_use","has_secondary_use_agriculture","has_secondary_use_hotel","has_secondary_use_rental","has_secondary_use_institution","has_secondary_use_school","has_secondary_use_industry","has_secondary_use_health_post","has_secondary_use_gov_office","has_secondary_use_use_police","has_secondary_use_other"
"1",300051,17,2.79448035575116,596,2.70503597122302,11307,2.63157894736842,3,20,7,6,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"2",99355,6,2.16172429350724,141,2.18085106382979,11987,2,2,25,13,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0
"3",890251,22,2.00095969289827,19,2.175,10044,3,2,5,4,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"4",745817,26,1.73088657970374,39,1.53219415552254,633,1.43778801843318,1,0,19,3,"t","r","x","v","j","t","d",0,0,0,0,0,1,0,0,0,0,0,"v",2,1,0,0,1,0,0,0,0,0,0,0
"5",421793,17,2.79448035575116,289,2.68911917098446,7970,2.82352941176471,3,15,8,7,"t","r","q","f","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"6",871976,22,2.00095969289827,170,1.83253588516746,4029,2.06666666666667,1,55,4,3,"t","r","q","f","j","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"7",691228,26,1.73088657970374,432,1.69308357348703,6794,1.83908045977011,2,0,6,7,"n","r","n","v","x","s","d",0,0,0,0,0,1,0,0,0,0,1,"v",1,0,0,0,0,0,0,0,0,0,0,0
"8",896100,8,2.48527253668763,1373,2.4278728606357,958,3,2,35,2,8,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0
"9",343471,16,2.17174515235457,244,1.95544554455446,3521,2.14285714285714,2,30,6,5,"t","r","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"10",766647,26,1.73088657970374,761,1.75598086124402,3137,2.05882352941176,2,5,6,7,"n","r","n","f","x","s","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"11",800548,20,1.92646375464684,215,1.69230769230769,995,1.90625,2,5,3,5,"t","w","q","f","q","s","u",0,0,0,0,0,0,1,1,0,0,0,"a",1,0,0,0,0,0,0,0,0,0,0,0
"12",652685,21,2.56336893008261,363,2.51875,7868,2.1497975708502,2,30,7,5,"t","r","n","v","x","s","d",0,1,0,1,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"13",590834,8,2.48527253668763,463,2.18218390804598,6973,1.875,2,40,6,6,"t","r","n","f","q","j","d",0,1,0,0,1,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0
"14",612530,27,2.44645706990105,533,2.54097387173397,2134,2.47058823529412,3,70,9,8,"n","r","n","f","q","s","d",1,0,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"15",535718,26,1.73088657970374,1023,1.6964824120603,11319,1.80434782608696,2,15,22,6,"t","r","x","v","s","s","d",0,0,0,0,0,1,0,0,0,0,0,"v",2,1,0,0,1,0,0,0,0,0,0,0
"16",269418,13,1.93765611990008,909,2.10869565217391,11624,2.12,1,60,5,4,"t","r","n","f","j","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"17",281421,26,1.73088657970374,1216,1.96629213483146,11111,1.76923076923077,2,40,6,4,"t","r","n","f","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0
"18",797571,7,2.29772559755712,108,2.20620842572062,7942,2.20987654320988,2,25,5,7,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"19",216579,16,2.17174515235457,246,2,4699,2.15384615384615,2,5,6,7,"t","u","n","f","q","s","d",1,1,1,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"20",81554,0,2.06532036898529,1031,1.875,6773,1.875,3,15,8,7,"t","r","n","f","q","t","d",0,1,0,0,0,0,1,1,1,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"21",132785,3,2.3315649867374,1387,2.21862745098039,9059,2.09774436090226,5,35,7,11,"t","r","n","f","q","t","d",0,0,0,0,1,1,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"22",976125,27,2.44645706990105,1155,2.64265668849392,9959,2.5,2,40,10,6,"t","r","n","x","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"23",851237,10,2.34195389283935,1250,2.33908045977011,8241,2.48837209302326,1,15,4,3,"t","r","n","f","j","j","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"24",322922,3,2.3315649867374,1229,2.3046875,7251,2.58333333333333,2,20,12,7,"n","r","n","f","x","s","d",1,1,0,0,0,0,0,0,1,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"25",786774,11,2.33771289537713,660,2.29779058597502,1758,2.07894736842105,1,5,19,2,"t","r","x","v","j","t","u",0,0,0,0,1,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"26",922680,11,2.33771289537713,521,2.0952380952381,3519,2.33333333333333,2,45,8,7,"n","r","n","f","x","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"27",134349,17,2.79448035575116,1196,2.83141762452107,3283,2.60416666666667,1,0,9,3,"t","r","n","f","j","s","d",0,1,1,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"28",551456,8,2.48527253668763,178,2.39108910891089,8196,2.5,3,90,14,6,"n","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"29",194812,25,2.05405405405405,745,1.92268041237113,8068,2.05882352941176,1,15,5,2,"t","u","n","v","j","s","d",0,1,0,1,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"30",520031,7,2.29772559755712,27,2.49689440993789,1385,2.66666666666667,2,20,12,7,"t","r","q","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"31",765502,17,2.79448035575116,446,2.86666666666667,4392,2.625,2,20,7,6,"n","r","n","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"32",517764,26,1.73088657970374,621,1.68459657701711,10264,1.58139534883721,1,10,7,3,"t","w","n","f","j","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"33",174470,13,1.93765611990008,20,2.23622047244094,11754,2.07692307692308,2,15,10,4,"t","r","n","f","q","t","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"34",395012,16,2.17174515235457,1399,2.07100591715976,11539,2.05,2,25,6,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"35",159776,10,2.34195389283935,405,2.19946091644205,10970,2.38461538461538,2,5,5,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"36",62638,11,2.33771289537713,1416,2.18110236220472,937,2.27272727272727,2,60,15,5,"t","r","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"37",65760,8,2.48527253668763,463,2.18218390804598,10502,2.05357142857143,1,10,5,5,"t","r","n","f","j","s","d",0,1,0,0,1,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0
"38",761527,4,2.16213618890719,598,2.12091503267974,2529,2.02564102564103,3,20,11,7,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"39",37201,1,1.96075527582377,1386,1.51020408163265,1978,1.16666666666667,2,30,10,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",0,1,1,0,0,0,0,0,0,0,0,0
"40",853163,12,2.15216030056356,284,2.05263157894737,10013,2.1875,1,45,4,3,"t","r","n","f","j","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0
"41",562505,30,2.0204765450484,1179,2,4985,2,2,15,5,4,"t","r","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"42",349010,17,2.79448035575116,399,2.85781990521327,11788,2.62,3,10,8,6,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"43",780817,1,1.96075527582377,482,2.15384615384615,3704,2,2,10,13,4,"o","r","n","f","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"44",179897,4,2.16213618890719,747,1.93622448979592,11413,2.06976744186047,2,5,9,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"45",845103,10,2.34195389283935,1407,2.3371757925072,8447,2.40677966101695,2,5,6,5,"t","r","n","f","q","s","d",1,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"46",171560,27,2.44645706990105,1000,2.48502994011976,1524,2.60869565217391,1,15,3,3,"t","h","n","m","j","s","d",0,0,0,0,0,0,0,0,0,0,1,"a",1,0,0,0,0,0,0,0,0,0,0,0
"47",586661,4,2.16213618890719,219,2.07929515418502,254,2.05555555555556,2,30,6,4,"t","r","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"48",84102,20,1.92646375464684,385,2.00520833333333,7618,1.87387387387387,2,20,4,5,"t","w","q","f","q","o","d",0,0,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"49",610806,8,2.48527253668763,1414,2.39191919191919,5064,2.41935483870968,2,15,3,5,"t","r","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0
"50",269531,6,2.16172429350724,932,2.14191419141914,3439,2.07692307692308,2,40,4,7,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"51",3781,27,2.44645706990105,181,2.28557692307692,3563,2.20454545454545,5,100,3,10,"t","r","n","x","x","o","d",1,0,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"52",127674,3,2.3315649867374,1387,2.21862745098039,11973,2.17894736842105,5,65,6,11,"o","r","n","f","q","j","d",1,0,0,0,1,1,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"53",820462,7,2.29772559755712,1166,2.07491856677524,459,2.03614457831325,2,30,5,5,"t","r","n","f","q","s","d",1,0,0,0,1,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"54",955190,27,2.44645706990105,181,2.28557692307692,2627,2.30508474576271,3,35,18,11,"t","u","n","v","q","t","u",0,0,0,0,1,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"55",405557,26,1.73088657970374,991,1.88296943231441,2170,1.97526501766784,2,10,10,5,"t","r","q","v","x","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"56",143219,17,2.79448035575116,811,2.85263157894737,7718,2.7037037037037,2,0,8,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0
"57",360041,26,1.73088657970374,1001,1.58149779735683,6626,1.43462897526502,1,5,6,3,"t","r","n","v","j","s","d",0,0,0,0,0,0,1,0,0,0,0,"a",1,0,0,0,0,0,0,0,0,0,0,0
"58",378036,18,2.70837253057385,639,2.37790697674419,1232,2.05555555555556,2,5,16,5,"t","i","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"59",613583,21,2.56336893008261,363,2.51875,8973,2.58088235294118,2,25,4,4,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"60",992040,27,2.44645706990105,181,2.28557692307692,5637,2.60606060606061,3,35,5,7,"t","r","n","f","q","j","d",1,0,0,0,1,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"61",849585,5,1.91970260223048,717,1.87878787878788,9743,2,3,10,6,8,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"62",491236,11,2.33771289537713,155,2.91823899371069,9181,2.96969696969697,2,45,7,8,"o","r","n","f","q","s","d",0,1,1,0,0,0,0,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
"63",847580,21,2.56336893008261,1019,2.92517006802721,10103,2.94736842105263,2,50,7,4,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0
